,queried_protein,hit_protein,length,evalue,score,gaps,sequence
17,A0T0A8,A8W3B7,29,1.28292e-07,102.0,0,sp|A8W3B7.1| RecName: Full=Cytochrome b6-f complex subunit 8; AltName: Full=Cytochrome b6-f complex subunit PetN; AltName: Full=Cytochrome b6-f complex subunit VIII [Cuscuta exaltata]
18,A0T0A8,A2T325,29,1.76415e-07,101.0,0,sp|A2T325.1| RecName: Full=Cytochrome b6-f complex subunit 8; AltName: Full=Cytochrome b6-f complex subunit PetN; AltName: Full=Cytochrome b6-f complex subunit VIII [Angiopteris evecta] >sp|A6H5G0.1| RecName: Full=Cytochrome b6-f complex subunit 8; AltName: Full=Cytochrome b6-f complex subunit PetN; AltName: Full=Cytochrome b6-f complex subunit VIII [Cycas taitungensis]
19,A0T0A8,Q33302,29,1.90513e-07,101.0,0,sp|Q33302.1| RecName: Full=Cytochrome b6-f complex subunit 8; AltName: Full=Cytochrome b6-f complex subunit PetN; AltName: Full=Cytochrome b6-f complex subunit VIII [Zea mays]
0,A0T0A9,A0T0A9,67,1.52316e-42,338.0,0,sp|A0T0A9.1| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H [Phaeodactylum tricornutum CCAP 1055/1]
1,A0T0A9,P49475,67,1.29382e-39,319.0,0,sp|P49475.1| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H [Trieres chinensis]
2,A0T0A9,Q4G3C2,66,6.35876e-35,288.0,0,sp|Q4G3C2.1| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H [Emiliania huxleyi]
3,A0T0A9,Q2JLQ8,67,1.74117e-30,259.0,0,sp|Q2JLQ8.1| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H [Synechococcus sp. JA-2-3B'a(2-13)]
4,A0T0A9,Q110N3,67,5.82611e-30,255.0,0,sp|Q110N3.1| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H [Trichodesmium erythraeum IMS101]
5,A0T0A9,B2JA13,67,3.80858e-29,250.0,0,sp|B2JA13.1| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H [Nostoc punctiforme PCC 73102]
6,A0T0A9,Q2JUV4,67,8.96766e-29,248.0,0,sp|Q2JUV4.1| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H [Synechococcus sp. JA-3-3Ab]
7,A0T0A9,A0T0P8,66,1.20066e-28,247.0,0,sp|A0T0P8.1| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H [Thalassiosira pseudonana]
8,A0T0A9,Q6B8Y7,67,1.91831e-27,239.0,0,sp|Q6B8Y7.1| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H [Gracilaria tenuistipitata var. liui]
9,A0T0A9,O78514,67,2.81699e-27,238.0,0,sp|O78514.1| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H [Guillardia theta]
10,A0T0A9,O19925,67,3.08377e-26,231.0,0,sp|O19925.1| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H [Cyanidium caldarium]
11,A0T0A9,Q85FZ2,64,3.19823e-24,217.0,0,sp|Q85FZ2.1| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H [Cyanidioschyzon merolae strain 10D]
12,A0T0A9,B1XIE1,67,3.90154e-24,217.0,0,sp|B1XIE1.1| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H [Synechococcus sp. PCC 7002]
13,A0T0A9,Q6YXN1,74,4.39828e-24,217.0,0,sp|Q6YXN1.3| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H; AltName: Full=Photosystem II 10 kDa phosphoprotein [Physcomitrium patens]
14,A0T0A9,P51325,67,5.13327e-24,216.0,0,sp|P51325.1| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H [Porphyra purpurea] >sp|Q1XDG1.1| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H [Neopyropia yezoensis]
15,A0T0A9,Q9TKW7,81,5.86557e-24,217.0,0,sp|Q9TKW7.1| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H; AltName: Full=Photosystem II 10 kDa phosphoprotein [Nephroselmis olivacea]
16,A0T0A9,Q85CN0,74,2.30517e-23,213.0,0,sp|Q85CN0.3| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H; AltName: Full=Photosystem II 10 kDa phosphoprotein [Anthoceros angustus]
17,A0T0A9,P14835,64,5.79862e-23,209.0,0,sp|P14835.3| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H; AltName: Full=6 kDa phosphoprotein [Synechocystis sp. PCC 6803 substr. Kazusa]
18,A0T0A9,Q3ZJ26,78,6.88627e-23,210.0,0,sp|Q3ZJ26.1| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H; AltName: Full=Photosystem II 10 kDa phosphoprotein [Tupiella akineta]
19,A0T0A9,Q9XQR3,73,1.2563e-22,208.0,0,sp|Q9XQR3.3| RecName: Full=Photosystem II reaction center protein H; Short=PSII-H; AltName: Full=Photosystem II 10 kDa phosphoprotein; AltName: Full=Photosystem II 9 kDa phosphoprotein [Pisum sativum]
0,A0T0B0,A0T0B0,43,3.21606e-25,220.0,0,sp|A0T0B0.1| RecName: Full=Protein PsbN [Phaeodactylum tricornutum CCAP 1055/1]
1,A0T0B0,A0T0P7,43,4.90948e-24,212.0,0,sp|A0T0P7.1| RecName: Full=Protein PsbN [Thalassiosira pseudonana]
2,A0T0B0,P49515,43,6.53331e-24,211.0,0,sp|P49515.1| RecName: Full=Protein PsbN [Trieres chinensis]
3,A0T0B0,P51324,43,7.40969e-21,191.0,0,sp|P51324.1| RecName: Full=Protein PsbN [Porphyra purpurea] >sp|Q1XDG2.1| RecName: Full=Protein PsbN [Neopyropia yezoensis]
4,A0T0B0,A6MW33,43,3.05838e-20,187.0,0,sp|A6MW33.1| RecName: Full=Protein PsbN [Rhodomonas salina]
5,A0T0B0,O78513,43,2.8157e-19,181.0,0,sp|O78513.1| RecName: Full=Protein PsbN [Guillardia theta]
6,A0T0B0,Q4G3C3,43,1.11217e-18,177.0,0,sp|Q4G3C3.1| RecName: Full=Protein PsbN [Emiliania huxleyi]
7,A0T0B0,P48108,43,2.15046e-18,175.0,0,sp|P48108.1| RecName: Full=Protein PsbN [Cyanophora paradoxa]
8,A0T0B0,Q6B8Y6,43,8.77857e-18,171.0,0,sp|Q6B8Y6.1| RecName: Full=Protein PsbN [Gracilaria tenuistipitata var. liui]
9,A0T0B0,Q85FZ3,43,4.41557e-17,166.0,0,sp|Q85FZ3.1| RecName: Full=Protein PsbN [Cyanidioschyzon merolae strain 10D]
10,A0T0B0,Q32RU3,43,1.22695e-16,164.0,0,sp|Q32RU3.1| RecName: Full=Protein PsbN [Staurastrum punctulatum]
11,A0T0B0,O19926,43,1.41537e-16,163.0,0,sp|O19926.1| RecName: Full=Protein PsbN [Cyanidium caldarium]
12,A0T0B0,Q1ACH3,43,1.65076e-16,163.0,0,sp|Q1ACH3.1| RecName: Full=Protein PsbN [Chara vulgaris]
13,A0T0B0,Q9MUV5,43,2.03404e-16,162.0,0,sp|Q9MUV5.1| RecName: Full=Protein PsbN [Mesostigma viride]
14,A0T0B0,Q71KQ8,43,4.74061e-16,160.0,0,sp|Q71KQ8.1| RecName: Full=Protein PsbN [Coleochaete orbicularis]
15,A0T0B0,A2T361,43,4.79299e-16,160.0,0,sp|A2T361.1| RecName: Full=Protein PsbN [Angiopteris evecta] >sp|Q32RQ4.1| RecName: Full=Protein PsbN [Zygnema circumcarinatum]
16,A0T0B0,Q71KN5,43,6.37806e-16,159.0,0,sp|Q71KN5.1| RecName: Full=Protein PsbN [Klebsormidium bilatum]
17,A0T0B0,Q8WHZ5,43,8.12233e-16,158.0,0,sp|Q8WHZ5.1| RecName: Full=Protein PsbN [Psilotum nudum]
18,A0T0B0,Q71KP0,43,1.11706e-15,157.0,0,sp|Q71KP0.1| RecName: Full=Protein PsbN [Chlorokybus atmophyticus]
19,A0T0B0,Q5SD31,43,1.16726e-15,157.0,0,sp|Q5SD31.1| RecName: Full=Protein PsbN [Huperzia lucidula]
0,A0T0B1,A0T0B1,32,7.08481e-15,150.0,0,sp|A0T0B1.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Phaeodactylum tricornutum CCAP 1055/1]
1,A0T0B1,A0T0P6,32,8.77569e-14,143.0,0,sp|A0T0P6.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Thalassiosira pseudonana]
2,A0T0B1,P49516,32,9.79507e-14,143.0,0,sp|P49516.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Trieres chinensis]
3,A0T0B1,Q4G3C4,32,5.03649e-13,138.0,0,sp|Q4G3C4.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Emiliania huxleyi]
4,A0T0B1,O19927,32,9.16357e-12,130.0,0,sp|O19927.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Cyanidium caldarium]
5,A0T0B1,Q85FZ4,32,1.12912e-11,129.0,0,sp|Q85FZ4.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Cyanidioschyzon merolae strain 10D]
6,A0T0B1,P20176,31,1.32781e-11,129.0,0,sp|P20176.2| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Euglena gracilis]
7,A0T0B1,Q9MUV6,31,1.7476e-11,128.0,0,sp|Q9MUV6.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Mesostigma viride]
8,A0T0B1,Q1ACH4,35,1.87499e-11,128.0,0,sp|Q1ACH4.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Chara vulgaris]
9,A0T0B1,P56327,31,2.80316e-11,126.0,0,sp|P56327.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Chlorella vulgaris] >sp|Q20F15.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Oltmannsiellopsis viridis]
10,A0T0B1,Q3ZJ28,31,4.2559e-11,125.0,0,sp|Q3ZJ28.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Tupiella akineta]
11,A0T0B1,Q1KVV5,31,4.30292e-11,125.0,0,sp|Q1KVV5.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Tetradesmus obliquus]
12,A0T0B1,Q06SJ0,31,5.244e-11,125.0,0,sp|Q06SJ0.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Stigeoclonium helveticum]
13,A0T0B1,Q6B8Y5,31,1.5225e-10,122.0,0,sp|Q6B8Y5.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Gracilaria tenuistipitata var. liui]
14,A0T0B1,Q06J23,31,1.96027e-10,121.0,0,sp|Q06J23.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Bigelowiella natans]
15,A0T0B1,P51323,31,2.117e-10,121.0,0,sp|P51323.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Porphyra purpurea] >sp|Q1XDG3.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Neopyropia yezoensis]
16,A0T0B1,Q0P3P9,31,2.31151e-10,120.0,0,sp|Q0P3P9.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Ostreococcus tauri]
17,A0T0B1,P37256,31,2.36287e-10,120.0,0,sp|P37256.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Chlamydomonas reinhardtii]
18,A0T0B1,P12182,35,2.95714e-10,120.0,0,sp|P12182.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Marchantia polymorpha]
19,A0T0B1,P59903,35,3.22887e-10,120.0,0,sp|P59903.1| RecName: Full=Photosystem II reaction center protein T; Short=PSII-T [Coleochaete orbicularis]
0,A0T0B3,A0T0B3,100,1.88991e-69,521.0,0,"sp|A0T0B3.1| RecName: Full=30S ribosomal protein S14, chloroplastic [Phaeodactylum tricornutum CCAP 1055/1]"
1,A0T0B3,A0T0S2,100,5.04654e-55,426.0,0,"sp|A0T0S2.1| RecName: Full=30S ribosomal protein S14, chloroplastic [Thalassiosira pseudonana]"
2,A0T0B3,P49502,100,5.28351e-54,420.0,0,"sp|P49502.1| RecName: Full=30S ribosomal protein S14, chloroplastic [Trieres chinensis]"
3,A0T0B3,Q3MCD2,100,4.53484e-45,361.0,0,sp|Q3MCD2.1| RecName: Full=30S ribosomal protein S14 [Trichormus variabilis ATCC 29413]
4,A0T0B3,Q8YQ66,100,8.75678e-45,359.0,0,sp|Q8YQ66.1| RecName: Full=30S ribosomal protein S14 [Nostoc sp. PCC 7120 = FACHB-418]
5,A0T0B3,Q10ZE2,100,1.021e-44,359.0,0,sp|Q10ZE2.1| RecName: Full=30S ribosomal protein S14 [Trichodesmium erythraeum IMS101]
6,A0T0B3,B0CAI0,100,2.56598e-43,349.0,0,sp|B0CAI0.1| RecName: Full=30S ribosomal protein S14 [Acaryochloris marina MBIC11017]
7,A0T0B3,Q9MUR6,100,2.59427e-43,349.0,0,"sp|Q9MUR6.1| RecName: Full=30S ribosomal protein S14, chloroplastic [Mesostigma viride]"
8,A0T0B3,B2J6L1,100,4.29618e-43,348.0,0,sp|B2J6L1.1| RecName: Full=30S ribosomal protein S14 [Nostoc punctiforme PCC 73102]
9,A0T0B3,P52858,100,9.88575e-43,346.0,0,sp|P52858.1| RecName: Full=30S ribosomal protein S14 [Synechococcus elongatus PCC 6301]
10,A0T0B3,P51319,100,2.01624e-42,344.0,0,"sp|P51319.1| RecName: Full=30S ribosomal protein S14, chloroplastic [Porphyra purpurea]"
11,A0T0B3,B7JUU6,100,2.15335e-42,343.0,0,sp|B7JUU6.1| RecName: Full=30S ribosomal protein S14 [Rippkaea orientalis PCC 8801]
12,A0T0B3,Q19V89,100,3.6851e-42,342.0,0,"sp|Q19V89.1| RecName: Full=30S ribosomal protein S14, chloroplastic [Chlorokybus atmophyticus]"
13,A0T0B3,B0JYC2,100,9.15536e-42,339.0,0,sp|B0JYC2.1| RecName: Full=30S ribosomal protein S14 [Microcystis aeruginosa NIES-843]
14,A0T0B3,B7K8N1,100,9.99468e-42,339.0,0,sp|B7K8N1.1| RecName: Full=30S ribosomal protein S14 [Gloeothece citriformis PCC 7424]
15,A0T0B3,P48138,100,6.03461e-41,334.0,0,sp|P48138.1| RecName: Full=Cyanelle 30S ribosomal protein S14 [Cyanophora paradoxa]
16,A0T0B3,Q1XDG8,100,8.76055e-41,333.0,0,"sp|Q1XDG8.1| RecName: Full=30S ribosomal protein S14, chloroplastic [Neopyropia yezoensis]"
17,A0T0B3,A6MVZ5,100,9.56359e-41,333.0,0,"sp|A6MVZ5.1| RecName: Full=30S ribosomal protein S14, chloroplastic [Rhodomonas salina]"
18,A0T0B3,O78506,100,1.2858e-40,332.0,0,"sp|O78506.1| RecName: Full=30S ribosomal protein S14, chloroplastic [Guillardia theta]"
19,A0T0B3,Q8DHW7,100,7.84732e-40,327.0,0,sp|Q8DHW7.1| RecName: Full=30S ribosomal protein S14 [Thermosynechococcus vestitus BP-1]
0,A0T0B4,A0T0B4,30,1.1215e-13,142.0,0,sp|A0T0B4.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Phaeodactylum tricornutum CCAP 1055/1]
1,A0T0B4,P49487,30,9.75827e-11,123.0,0,sp|P49487.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Trieres chinensis]
2,A0T0B4,A0T0S1,30,1.44852e-05,89.0,0,sp|A0T0S1.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Thalassiosira pseudonana]
3,A0T0B4,Q6B8K0,30,3.48714e-05,86.0,0,sp|Q6B8K0.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Gracilaria tenuistipitata var. liui]
4,A0T0B4,P51395,30,5.65337e-05,85.0,0,sp|P51395.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Porphyra purpurea] >sp|Q1XD92.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Neopyropia yezoensis]
5,A0T0B4,Q4G371,30,6.59283e-05,84.0,0,sp|Q4G371.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Emiliania huxleyi]
6,A0T0B4,Q0P3J8,31,0.000139462,82.0,0,sp|Q0P3J8.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Ostreococcus tauri]
7,A0T0B4,O78448,29,0.000271285,80.0,0,sp|O78448.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Guillardia theta]
8,A0T0B4,P48185,31,0.000297507,80.0,0,sp|P48185.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Cyanophora paradoxa]
9,A0T0B4,Q9TLX5,30,0.00041704,79.0,0,sp|Q9TLX5.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Cyanidium caldarium]
10,A0T0B4,P56314,31,0.00192341,75.0,0,sp|P56314.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Chlorella vulgaris]
11,A0T0B4,P0A403,31,0.00219423,74.0,0,sp|P0A403.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Thermosynechococcus vestitus BP-1] >sp|P0A404.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Synechococcus elongatus]
12,A0T0B4,Q9MUS2,30,0.00304156,74.0,0,sp|Q9MUS2.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Mesostigma viride]
13,A0T0B4,Q8YNB0,32,0.00372917,73.0,0,sp|Q8YNB0.2| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Nostoc sp. PCC 7120 = FACHB-418]
14,A0T0B4,Q32RL2,32,0.00416185,73.0,0,sp|Q32RL2.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Zygnema circumcarinatum]
15,A0T0B4,Q32RW8,32,0.00604469,72.0,0,sp|Q32RW8.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Staurastrum punctulatum]
16,A0T0B4,Q8M9Z8,32,0.00897402,71.0,0,sp|Q8M9Z8.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Chaetosphaeridium globosum]
17,A0T0B4,Q2JI37,30,0.0291676,67.0,0,sp|Q2JI37.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Synechococcus sp. JA-2-3B'a(2-13)]
18,A0T0B4,Q2JT51,30,0.0671454,65.0,0,sp|Q2JT51.2| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Synechococcus sp. JA-3-3Ab]
19,A0T0B4,P31590,32,0.0909075,64.0,0,sp|P31590.1| RecName: Full=Photosystem I reaction center subunit XII; AltName: Full=PSI-M [Marchantia polymorpha]
0,A0T0B7,A0T0B7,160,4.0362e-113,820.0,0,sp|A0T0B7.1| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Phaeodactylum tricornutum CCAP 1055/1]
1,A0T0B7,P49489,160,3.40423e-104,761.0,0,sp|P49489.1| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Trieres chinensis]
2,A0T0B7,A0T0T7,160,4.35165e-101,741.0,0,sp|A0T0T7.1| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Thalassiosira pseudonana]
3,A0T0B7,Q4G3F7,160,3.84351e-93,689.0,0,sp|Q4G3F7.1| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Emiliania huxleyi]
4,A0T0B7,O78415,160,5.52239e-92,681.0,0,sp|O78415.1| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Guillardia theta]
5,A0T0B7,Q84TU6,173,1.16831e-90,674.0,0,"sp|Q84TU6.1| RecName: Full=Cytochrome b6-f complex subunit 4, chloroplastic; AltName: Full=17 kDa polypeptide; Flags: Precursor [Euglena gracilis]"
6,A0T0B7,Q6B904,160,1.43489e-88,659.0,0,sp|Q6B904.1| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Gracilaria tenuistipitata var. liui]
7,A0T0B7,Q1XDE7,160,3.60437e-88,656.0,0,sp|Q1XDE7.1| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Neopyropia yezoensis]
8,A0T0B7,P51340,160,6.73381e-88,654.0,0,sp|P51340.1| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Porphyra purpurea]
9,A0T0B7,P48122,160,1.27189e-87,653.0,0,sp|P48122.1| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Cyanophora paradoxa]
10,A0T0B7,Q3ZJ11,160,3.15996e-87,650.0,0,sp|Q3ZJ11.1| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Tupiella akineta]
11,A0T0B7,Q32RU6,160,1.49882e-85,639.0,0,sp|Q32RU6.1| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Staurastrum punctulatum]
12,A0T0B7,Q9TL32,160,1.67249e-85,639.0,0,sp|Q9TL32.1| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Nephroselmis olivacea]
13,A0T0B7,Q85AY5,160,2.22412e-85,638.0,0,sp|Q85AY5.1| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Anthoceros angustus]
14,A0T0B7,Q71KP3,160,2.22412e-85,638.0,0,sp|Q71KP3.1| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Spirogyra maxima]
15,A0T0B7,Q1ACH0,160,2.59308e-85,637.0,0,sp|Q1ACH0.1| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Chara vulgaris]
16,A0T0B7,P06250,160,3.76443e-85,636.0,0,sp|P06250.1| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Marchantia polymorpha]
17,A0T0B7,P83792,160,5.70986e-85,635.0,0,sp|P83792.2| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide; AltName: Full=Cytochrome b6-f complex subunit IV [Mastigocladus laminosus]
18,A0T0B7,Q20ET6,160,8.75611e-85,634.0,0,sp|Q20ET6.1| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Oltmannsiellopsis viridis]
19,A0T0B7,P00166,160,8.95021e-85,634.0,0,sp|P00166.2| RecName: Full=Cytochrome b6-f complex subunit 4; AltName: Full=17 kDa polypeptide [Spinacia oleracea]
0,A0T0B8,A0T0B8,215,2.55911e-158,1128.0,0,sp|A0T0B8.1| RecName: Full=Cytochrome b6 [Phaeodactylum tricornutum CCAP 1055/1]
1,A0T0B8,A0T0T6,215,3.39936e-152,1088.0,0,sp|A0T0T6.1| RecName: Full=Cytochrome b6 [Thalassiosira pseudonana] >sp|O96801.1| RecName: Full=Cytochrome b6 [Skeletonema costatum]
2,A0T0B8,P49488,215,6.32506e-147,1053.0,0,sp|P49488.1| RecName: Full=Cytochrome b6 [Trieres chinensis]
3,A0T0B8,O78416,215,5.82824e-141,1014.0,0,sp|O78416.1| RecName: Full=Cytochrome b6 [Guillardia theta]
4,A0T0B8,Q9TL31,215,1.44957e-139,1005.0,0,sp|Q9TL31.1| RecName: Full=Cytochrome b6 [Nephroselmis olivacea]
5,A0T0B8,P00165,215,2.12937e-138,998.0,0,sp|P00165.1| RecName: Full=Cytochrome b6 [Spinacia oleracea]
6,A0T0B8,P0C8M6,215,5.97024e-138,995.0,0,sp|P0C8M6.1| RecName: Full=Cytochrome b6 [Synechococcus elongatus] >sp|P0C8M7.1| RecName: Full=Cytochrome b6 [Thermosynechococcus vestitus BP-1]
7,A0T0B8,P06247,215,7.27326e-138,994.0,0,sp|P06247.2| RecName: Full=Cytochrome b6 [Nicotiana tabacum]
8,A0T0B8,Q6YXN2,215,7.59944e-138,994.0,0,sp|Q6YXN2.1| RecName: Full=Cytochrome b6 [Physcomitrium patens]
9,A0T0B8,Q49KW8,215,8.86065e-138,993.0,0,sp|Q49KW8.1| RecName: Full=Cytochrome b6 [Eucalyptus globulus subsp. globulus]
10,A0T0B8,Q09WY7,215,1.38917e-137,992.0,0,sp|Q09WY7.1| RecName: Full=Cytochrome b6 [Morus indica]
11,A0T0B8,P06248,215,1.40449e-137,992.0,0,sp|P06248.1| RecName: Full=Cytochrome b6 [Marchantia polymorpha]
12,A0T0B8,Q9MTJ5,215,1.40449e-137,992.0,0,sp|Q9MTJ5.2| RecName: Full=Cytochrome b6 [Oenothera elata subsp. hookeri]
13,A0T0B8,Q71KN3,215,1.63757e-137,992.0,0,sp|Q71KN3.1| RecName: Full=Cytochrome b6 [Klebsormidium bilatum]
14,A0T0B8,Q09ME7,215,2.03922e-137,991.0,0,sp|Q09ME7.2| RecName: Full=Cytochrome b6 [Citrus sinensis]
15,A0T0B8,Q85A24,215,2.48427e-137,991.0,0,sp|Q85A24.1| RecName: Full=Cytochrome b6 [Anthoceros angustus]
16,A0T0B8,P05642,215,2.8028e-137,990.0,0,sp|P05642.2| RecName: Full=Cytochrome b6 [Zea mays]
17,A0T0B8,Q4G3F8,215,3.34042e-137,990.0,0,sp|Q4G3F8.1| RecName: Full=Cytochrome b6 [Emiliania huxleyi]
18,A0T0B8,P56773,215,3.85231e-137,989.0,0,sp|P56773.1| RecName: Full=Cytochrome b6 [Arabidopsis thaliana]
19,A0T0B8,P0C315,215,4.15971e-137,989.0,0,sp|P0C315.1| RecName: Full=Cytochrome b6 [Oryza sativa] >sp|P0C316.1| RecName: Full=Cytochrome b6 [Oryza sativa Indica Group] >sp|P12123.1| RecName: Full=Cytochrome b6 [Oryza sativa Japonica Group] >sp|P60161.1| RecName: Full=Cytochrome b6 [Hordeum vulgare] >sp|P60162.1| RecName: Full=Cytochrome b6 [Triticum aestivum] >sp|Q6ENE4.1| RecName: Full=Cytochrome b6 [Oryza nivara]
0,A0T0C0,A0T0C0,128,8.68749e-83,614.0,0,"sp|A0T0C0.1| RecName: Full=50S ribosomal protein L12, chloroplastic [Phaeodactylum tricornutum CCAP 1055/1]"
1,A0T0C0,P49550,127,8.70087e-64,489.0,1,"sp|P49550.1| RecName: Full=50S ribosomal protein L12, chloroplastic [Trieres chinensis]"
2,A0T0C0,A0T0Q7,128,5.41771e-59,458.0,0,"sp|A0T0Q7.1| RecName: Full=50S ribosomal protein L12, chloroplastic [Thalassiosira pseudonana]"
3,A0T0C0,Q1XDE8,129,6.02532e-45,366.0,5,"sp|Q1XDE8.1| RecName: Full=50S ribosomal protein L12, chloroplastic [Neopyropia yezoensis]"
4,A0T0C0,P51339,129,1.33934e-44,364.0,3,"sp|P51339.1| RecName: Full=50S ribosomal protein L12, chloroplastic [Porphyra purpurea]"
5,A0T0C0,P23349,128,1.67052e-44,363.0,0,sp|P23349.3| RecName: Full=50S ribosomal protein L7/L12 [Synechocystis sp. PCC 6803 substr. Kazusa]
6,A0T0C0,Q6B905,131,2.51562e-44,362.0,3,"sp|Q6B905.1| RecName: Full=50S ribosomal protein L12, chloroplastic [Gracilaria tenuistipitata var. liui]"
7,A0T0C0,O78414,129,1.06514e-42,351.0,4,"sp|O78414.1| RecName: Full=50S ribosomal protein L12, chloroplastic [Guillardia theta]"
8,A0T0C0,B2JA77,130,7.20486e-42,346.0,2,sp|B2JA77.1| RecName: Full=50S ribosomal protein L7/L12 [Nostoc punctiforme PCC 73102]
