Hit,DB,Protein1,Protein2,Organism,Length,Score,Identities,Positives,E
13,swissprot,A0T0D5,B2J0D4,Nostoc punctiforme PCC 73102,64,250.0,73.44,87.50,3.27913e-29
14,swissprot,A0T0D5,Q9MUP5,Mesostigma viride,64,245.0,73.44,84.38,1.85897e-28
15,swissprot,A0T0D5,B7KBE3,Gloeothece citriformis PCC 7424,64,245.0,73.44,84.38,2.0075e-28
16,swissprot,A0T0D5,B7JW32,Rippkaea orientalis PCC 8801,64,244.0,70.31,82.81,2.21603e-28
17,swissprot,A0T0D5,B0JVN3,Microcystis aeruginosa NIES-843,64,244.0,71.88,84.38,2.31554e-28
18,swissprot,A0T0D5,A2C9R5,Prochlorococcus marinus str. MIT 9303,66,240.0,72.73,86.36,1.06292e-27
19,swissprot,A0T0D5,Q0IAH7,Synechococcus sp. CC9311,66,238.0,74.24,81.82,1.86076e-27
20,swissprot,A0T0D5,Q3AVJ5,Synechococcus sp. CC9902,66,237.0,72.73,81.82,2.73264e-27
1,swissprot,A0T0D6,A0T0D6,Phaeodactylum tricornutum CCAP 1055/1,93,460.0,100.00,100.00,2.46394e-60
2,swissprot,A0T0D6,P49507,Trieres chinensis,93,344.0,73.12,87.10,1.21858e-42
3,swissprot,A0T0D6,A0T0R2,Thalassiosira pseudonana,93,311.0,69.89,80.65,1.13254e-37
4,swissprot,A0T0D6,B0JGK4,Microcystis aeruginosa NIES-843,97,253.0,53.61,67.01,1.031e-28
5,swissprot,A0T0D6,B1WZT9,Crocosphaera subtropica ATCC 51142,97,238.0,49.48,71.13,1.71098e-26
6,swissprot,A0T0D6,Q8YWL3,Nostoc sp. PCC 7120 = FACHB-418,97,237.0,48.45,68.04,2.12957e-26
7,swissprot,A0T0D6,Q3M5D2,Trichormus variabilis ATCC 29413,98,231.0,46.94,66.33,1.80923e-25
8,swissprot,A0T0D6,B7JWV1,Rippkaea orientalis PCC 8801,97,228.0,46.39,68.04,6.39699e-25
9,swissprot,A0T0D6,A2BT63,Prochlorococcus marinus str. AS9601,97,221.0,49.48,68.04,7.09416e-24
10,swissprot,A0T0D6,A5GNH5,Synechococcus sp. WH 7803,102,221.0,41.18,61.76,7.87956e-24
11,swissprot,A0T0D6,A3PEX6,Prochlorococcus marinus str. MIT 9301,97,220.0,50.52,65.98,1.05161e-23
12,swissprot,A0T0D6,B7KG02,Gloeothece citriformis PCC 7424,97,219.0,47.42,68.04,1.09863e-23
13,swissprot,A0T0D6,Q318Q5,Prochlorococcus marinus str. MIT 9312,97,219.0,49.48,68.04,1.18602e-23
14,swissprot,A0T0D6,A8G6Y8,Prochlorococcus marinus str. MIT 9215,97,215.0,48.45,61.86,5.1889e-23
15,swissprot,A0T0D6,Q7TU38,Prochlorococcus marinus subsp. pastoris str. CCMP1986,97,215.0,49.48,61.86,6.18065e-23
16,swissprot,A0T0D6,B1XHW6,Synechococcus sp. PCC 7002,99,215.0,49.49,63.64,6.3178e-23
17,swissprot,A0T0D6,P73336,Synechocystis sp. PCC 6803 substr. Kazusa,97,214.0,45.36,67.01,7.36193e-23
18,swissprot,A0T0D6,A2BYL3,Prochlorococcus marinus str. MIT 9515,97,210.0,49.48,60.82,2.53151e-22
19,swissprot,A0T0D6,B0C2C8,Acaryochloris marina MBIC11017,94,205.0,48.94,63.83,1.40085e-21
20,swissprot,A0T0D6,Q3AHX3,Synechococcus sp. CC9605,98,205.0,40.82,62.24,2.05125e-21
1,swissprot,A0T0D7,A0T0D7,Phaeodactylum tricornutum CCAP 1055/1,1389,7364.0,100.00,100.00,0.0
2,swissprot,A0T0D7,A0T0R1,Thalassiosira pseudonana,1386,5041.0,69.55,83.33,0.0
3,swissprot,A0T0D7,P49466,Trieres chinensis,1379,4918.0,69.40,81.80,0.0
4,swissprot,A0T0D7,A6MVX4,Rhodomonas salina,1097,2818.0,48.50,61.53,0.0
5,swissprot,A0T0D7,O78485,Guillardia theta,1096,2801.0,48.45,61.50,0.0
6,swissprot,A0T0D7,Q8DL55,Thermosynechococcus vestitus BP-1,1108,2769.0,47.38,60.29,0.0
7,swissprot,A0T0D7,P51252,Porphyra purpurea,1143,2765.0,46.28,59.76,0.0
8,swissprot,A0T0D7,Q31N17,Synechococcus elongatus PCC 7942 = FACHB-805,1100,2763.0,48.55,61.45,0.0
9,swissprot,A0T0D7,Q5MZ23,Synechococcus elongatus PCC 6301,1100,2750.0,48.36,61.27,0.0
10,swissprot,A0T0D7,Q2JJ19,Synechococcus sp. JA-2-3B'a(2-13),1139,2744.0,46.27,59.70,0.0
11,swissprot,A0T0D7,Q2JX64,Synechococcus sp. JA-3-3Ab,1133,2739.0,46.51,60.02,0.0
12,swissprot,A0T0D7,Q1XDN5,Neopyropia yezoensis,1143,2734.0,46.81,61.77,0.0
13,swissprot,A0T0D7,A2C4N2,Prochlorococcus marinus str. NATL1A,1095,2701.0,46.85,61.00,0.0
14,swissprot,A0T0D7,P77965,Synechocystis sp. PCC 6803 substr. Kazusa,1102,2701.0,46.55,61.07,0.0
15,swissprot,A0T0D7,Q6B8R8,Gracilaria tenuistipitata var. liui,1120,2697.0,46.34,61.43,0.0
16,swissprot,A0T0D7,Q46J22,Prochlorococcus marinus str. NATL2A,1095,2695.0,46.76,61.00,0.0
17,swissprot,A0T0D7,Q110H1,Trichodesmium erythraeum IMS101,1102,2693.0,46.64,60.44,0.0
18,swissprot,A0T0D7,A3PEX4,Prochlorococcus marinus str. MIT 9301,1097,2691.0,46.76,60.26,0.0
19,swissprot,A0T0D7,Q318Q7,Prochlorococcus marinus str. MIT 9312,1097,2691.0,46.86,60.53,0.0
20,swissprot,A0T0D7,Q7V5P1,Prochlorococcus marinus str. MIT 9313,1097,2690.0,46.40,61.08,0.0
1,swissprot,A0T0D8,A0T0D8,Phaeodactylum tricornutum CCAP 1055/1,696,3702.0,100.00,100.00,0.0
2,swissprot,A0T0D8,A0T0R0,Thalassiosira pseudonana,732,3069.0,78.28,87.98,0.0
3,swissprot,A0T0D8,P49467,Trieres chinensis,843,2344.0,52.19,57.65,0.0
4,swissprot,A0T0D8,A6MVX3,Rhodomonas salina,623,1905.0,60.35,78.17,0.0
5,swissprot,A0T0D8,O78484,Guillardia theta,623,1900.0,61.48,76.40,0.0
6,swissprot,A0T0D8,B7JWQ8,Rippkaea orientalis PCC 8801,625,1799.0,58.72,74.08,0.0
7,swissprot,A0T0D8,Q9MUS6,Mesostigma viride,668,1776.0,54.49,70.21,0.0
8,swissprot,A0T0D8,Q1XDN6,Neopyropia yezoensis,629,1441.0,42.13,52.46,0.0
9,swissprot,A0T0D8,P51251,Porphyra purpurea,629,1435.0,41.65,52.31,0.0
10,swissprot,A0T0D8,Q6B8R7,Gracilaria tenuistipitata var. liui,628,1414.0,42.36,55.41,0.0
11,swissprot,A0T0D8,P42080,Cyanophora paradoxa,636,1399.0,42.77,54.09,0.0
12,swissprot,A0T0D8,B8HTV9,Cyanothece sp. PCC 7425,622,1392.0,43.09,54.02,0.0
13,swissprot,A0T0D8,B7KK78,Gloeothece citriformis PCC 7424,625,1391.0,42.24,54.40,0.0
14,swissprot,A0T0D8,Q7NDF8,Gloeobacter violaceus PCC 7421,608,1385.0,41.61,51.97,0.0
15,swissprot,A0T0D8,O19897,Cyanidium caldarium,633,1383.0,39.65,51.18,0.0
16,swissprot,A0T0D8,B0C2D1,Acaryochloris marina MBIC11017,623,1381.0,40.77,50.56,0.0
17,swissprot,A0T0D8,P42079,Synechococcus elongatus PCC 7942 = FACHB-805,624,1379.0,41.35,51.28,0.0
18,swissprot,A0T0D8,Q3M5C9,Trichormus variabilis ATCC 29413,625,1375.0,40.48,50.88,0.0
19,swissprot,A0T0D8,Q5MZ22,Synechococcus elongatus PCC 6301,624,1374.0,41.19,51.12,0.0
20,swissprot,A0T0D8,Q8DL56,Thermosynechococcus vestitus BP-1,622,1370.0,42.44,54.50,0.0
1,swissprot,A0T0D9,A0T0D9,Phaeodactylum tricornutum CCAP 1055/1,1415,7410.0,100.00,100.00,0.0
2,swissprot,A0T0D9,A0T0Q9,Thalassiosira pseudonana,1446,4231.0,58.51,74.07,0.0
3,swissprot,A0T0D9,P49468,Trieres chinensis,1481,2112.0,26.27,33.69,0.0
4,swissprot,A0T0D9,B0C385,Acaryochloris marina MBIC11017,1330,1559.0,25.94,41.88,0.0
5,swissprot,A0T0D9,P22705,Nostoc sp. PCC 7120 = FACHB-418,1355,1474.0,23.91,37.93,5.08598e-179
6,swissprot,A0T0D9,Q6B8R6,Gracilaria tenuistipitata var. liui,1228,1465.0,28.18,45.60,5.12097e-179
7,swissprot,A0T0D9,Q2JQT4,Synechococcus sp. JA-3-3Ab,1302,1466.0,24.88,40.94,2.18844e-178
8,swissprot,A0T0D9,Q31N15,Synechococcus elongatus PCC 7942 = FACHB-805,1318,1464.0,24.05,40.67,6.79833e-178
9,swissprot,A0T0D9,Q3M5C8,Trichormus variabilis ATCC 29413,1355,1466.0,24.65,40.59,7.86956e-178
10,swissprot,A0T0D9,Q5MZ21,Synechococcus elongatus PCC 6301,1318,1464.0,24.05,40.59,8.28142e-178
11,swissprot,A0T0D9,B2J1A0,Nostoc punctiforme PCC 73102,1349,1465.0,24.68,40.03,1.08331e-177
12,swissprot,A0T0D9,P51250,Porphyra purpurea,1224,1443.0,29.74,47.22,7.10719e-176
13,swissprot,A0T0D9,B1XHW1,Synechococcus sp. PCC 7002,1331,1443.0,24.79,40.35,1.16658e-174
14,swissprot,A0T0D9,Q1XDN7,Neopyropia yezoensis,1226,1434.0,28.30,44.54,1.65783e-174
15,swissprot,A0T0D9,B0JGK8,Microcystis aeruginosa NIES-843,1334,1441.0,24.96,40.63,2.23129e-174
16,swissprot,A0T0D9,Q2JJ17,Synechococcus sp. JA-2-3B'a(2-13),1304,1429.0,24.69,40.64,5.58548e-173
17,swissprot,A0T0D9,Q110H3,Trichodesmium erythraeum IMS101,1415,1431.0,22.90,37.60,3.44555e-172
18,swissprot,A0T0D9,P73334,Synechocystis sp. PCC 6803 substr. Kazusa,1317,1418.0,25.51,39.79,2.93787e-171
19,swissprot,A0T0D9,Q8DL57,Thermosynechococcus vestitus BP-1,1324,1403.0,23.64,39.65,5.62374e-169
20,swissprot,A0T0D9,B1WZT6,Crocosphaera subtropica ATCC 51142,1306,1398.0,24.66,41.19,1.98245e-168
1,swissprot,A0T0E0,A0T0E0,Phaeodactylum tricornutum CCAP 1055/1,226,1198.0,100.00,100.00,1.14562e-168
2,swissprot,A0T0E0,P49490,Trieres chinensis,229,986.0,78.60,89.08,2.89101e-136
3,swissprot,A0T0E0,A0T0Q8,Thalassiosira pseudonana,227,961.0,77.97,87.67,1.9566e-132
4,swissprot,A0T0E0,O78482,Guillardia theta,235,813.0,60.85,78.30,7.2907e-110
5,swissprot,A0T0E0,P51249,Porphyra purpurea,241,810.0,58.09,76.35,2.56525e-109
6,swissprot,A0T0E0,Q1XDN8,Neopyropia yezoensis,242,809.0,58.26,75.62,3.8105e-109
7,swissprot,A0T0E0,Q6B8R5,Gracilaria tenuistipitata var. liui,231,796.0,60.61,78.35,2.64706e-107
8,swissprot,A0T0E0,Q4G3A3,Emiliania huxleyi,229,793.0,60.26,81.22,6.91461e-107
9,swissprot,A0T0E0,Q3MBF3,Trichormus variabilis ATCC 29413,265,788.0,50.57,67.92,1.27858e-105
10,swissprot,A0T0E0,Q8YMY2,Nostoc sp. PCC 7120 = FACHB-418,265,787.0,50.57,67.92,1.85459e-105
11,swissprot,A0T0E0,B8HXK4,Cyanothece sp. PCC 7425,260,785.0,51.15,69.23,3.79578e-105
12,swissprot,A0T0E0,B0C075,Acaryochloris marina MBIC11017,298,784.0,45.97,60.07,1.6615e-104
13,swissprot,A0T0E0,B2J6U9,Nostoc punctiforme PCC 73102,264,781.0,50.38,67.42,1.80235e-104
14,swissprot,A0T0E0,A6MVX1,Rhodomonas salina,243,778.0,58.85,76.95,2.36051e-104
15,swissprot,A0T0E0,Q116Q2,Trichodesmium erythraeum IMS101,272,769.0,48.90,65.44,1.42623e-102
16,swissprot,A0T0E0,P48132,Cyanophora paradoxa,233,765.0,55.79,77.25,1.83404e-102
17,swissprot,A0T0E0,Q19VA1,Chlorokybus atmophyticus,228,761.0,57.46,76.75,4.98515e-102
18,swissprot,A0T0E0,Q8DIA2,Thermosynechococcus vestitus BP-1,263,757.0,50.57,66.92,7.91209e-101
19,swissprot,A0T0E0,Q2JLB3,Synechococcus sp. JA-2-3B'a(2-13),264,755.0,51.89,65.53,1.41368e-100
20,swissprot,A0T0E0,Q31K59,Synechococcus elongatus PCC 7942 = FACHB-805,251,754.0,50.20,70.52,1.44287e-100
1,swissprot,A0T0E7,A0T0E7,Phaeodactylum tricornutum CCAP 1055/1,82,394.0,100.00,100.00,1.30218e-50
2,swissprot,A0T0E7,B2XT86,Heterosigma akashiwo NIES-293,82,361.0,90.24,93.90,1.47711e-45
3,swissprot,A0T0E7,P41603,Pinus thunbergii,81,358.0,90.12,95.06,3.64744e-45
4,swissprot,A0T0E7,B5LMM9,Cicer arietinum,81,356.0,90.12,96.30,6.5268e-45
5,swissprot,A0T0E7,A7Y3A9,Ipomoea purpurea,81,354.0,88.89,95.06,1.52e-44
6,swissprot,A0T0E7,B1VKH8,Cryptomeria japonica,81,353.0,90.12,95.06,1.89323e-44
7,swissprot,A0T0E7,A4GGB0,Phaseolus vulgaris,81,351.0,88.89,95.06,3.78084e-44
8,swissprot,A0T0E7,Q32RS6,Staurastrum punctulatum,81,351.0,88.89,95.06,3.78084e-44
9,swissprot,A0T0E7,P28530,Diacronema lutheri,83,351.0,86.75,92.77,4.67463e-44
10,swissprot,A0T0E7,A9QC36,Trachelium caeruleum,81,349.0,88.89,95.06,6.99186e-44
11,swissprot,A0T0E7,Q32RK9,Zygnema circumcarinatum,81,349.0,87.65,93.83,8.51952e-44
12,swissprot,A0T0E7,P08212,Pisum sativum,81,348.0,86.42,96.30,1.03809e-43
13,swissprot,A0T0E7,A0A322,Coffea arabica,81,348.0,87.65,95.06,1.04955e-43
14,swissprot,A0T0E7,Q0P3K7,Ostreococcus tauri,82,348.0,86.59,92.68,1.21934e-43
15,swissprot,A0T0E7,A4QJS0,Olimarabidopsis pumila,81,348.0,86.42,95.06,1.35103e-43
16,swissprot,A0T0E7,A6BM12,Gnetum parvifolium,81,347.0,87.65,95.06,1.49134e-43
17,swissprot,A0T0E7,O78479,Guillardia theta,82,347.0,84.15,93.90,1.85054e-43
18,swissprot,A0T0E7,Q19VA3,Chlorokybus atmophyticus,82,347.0,86.59,92.68,2.02042e-43
19,swissprot,A0T0E7,A8SE66,Ceratophyllum demersum,81,346.0,86.42,95.06,2.44415e-43
20,swissprot,A0T0E7,Q1ACN0,Chara vulgaris,81,346.0,86.42,95.06,2.44415e-43
1,swissprot,A0T0E8,A0T0E8,Phaeodactylum tricornutum CCAP 1055/1,156,776.0,100.00,100.00,1.46604e-106
2,swissprot,A0T0E8,Q00823,Trieres chinensis,156,635.0,80.77,91.03,4.29822e-85
3,swissprot,A0T0E8,A0T0P1,Thalassiosira pseudonana,156,592.0,73.72,87.82,1.61585e-78
4,swissprot,A0T0E8,B7T1R9,Vaucheria litorea,154,337.0,46.10,62.99,7.49748e-40
5,swissprot,A0T0E8,O78478,Guillardia theta,163,301.0,37.42,63.19,3.39947e-34
6,swissprot,A0T0E8,A6MVW7,Rhodomonas salina,155,285.0,38.71,61.94,7.60323e-32
7,swissprot,A0T0E8,Q02852,Antithamnion sp.,159,274.0,40.25,59.75,2.95147e-30
8,swissprot,A0T0E8,Q112Z3,Trichodesmium erythraeum IMS101,161,272.0,36.02,58.39,6.17235e-30
9,swissprot,A0T0E8,Q1XDP2,Neopyropia yezoensis,156,272.0,37.18,57.05,7.13103e-30
10,swissprot,A0T0E8,Q40608,Ochrosphaera neapolitana,163,267.0,34.97,57.67,4.57963e-29
11,swissprot,A0T0E8,Q8DLP6,Thermosynechococcus vestitus BP-1,138,252.0,41.30,63.04,4.52245e-27
12,swissprot,A0T0E8,B1XHZ1,Synechococcus sp. PCC 7002,161,252.0,35.40,53.42,6.43125e-27
13,swissprot,A0T0E8,Q6B8R1,Gracilaria tenuistipitata var. liui,158,251.0,36.08,56.96,8.67019e-27
14,swissprot,A0T0E8,P35012,Galdieria sulphuraria,157,248.0,35.03,56.05,2.57107e-26
15,swissprot,A0T0E8,P48085,Cyanophora paradoxa,164,246.0,34.76,56.71,5.84556e-26
16,swissprot,A0T0E8,Q4G3A0,Emiliania huxleyi,162,242.0,37.04,57.41,2.1163e-25
17,swissprot,A0T0E8,P27183,Synechocystis sp. PCC 6803 substr. Kazusa,143,237.0,31.47,59.44,8.49529e-25
18,swissprot,A0T0E8,Q3M9V7,Trichormus variabilis ATCC 29413,163,238.0,36.20,54.60,8.92496e-25
19,swissprot,A0T0E8,B0BZK9,Acaryochloris marina MBIC11017,142,234.0,34.51,57.04,2.21253e-24
20,swissprot,A0T0E8,Q7NCS0,Gloeobacter violaceus PCC 7421,174,236.0,29.89,41.38,2.32356e-24
1,swissprot,A0T0E9,A0T0E9,Phaeodactylum tricornutum CCAP 1055/1,179,893.0,100.00,100.00,1.32838e-123
2,swissprot,A0T0E9,Q00822,Trieres chinensis,179,702.0,76.54,88.83,1.77542e-94
3,swissprot,A0T0E9,A0T0P2,Thalassiosira pseudonana,179,638.0,70.39,84.92,9.89017e-85
4,swissprot,A0T0E9,Q02850,Antithamnion sp.,182,211.0,35.16,56.59,3.30077e-20
5,swissprot,A0T0E9,A6MVW6,Rhodomonas salina,181,208.0,29.83,50.28,7.96722e-20
6,swissprot,A0T0E9,Q6B8R0,Gracilaria tenuistipitata var. liui,182,207.0,32.42,58.24,1.06273e-19
7,swissprot,A0T0E9,B7T1R8,Vaucheria litorea,178,206.0,33.71,57.87,1.409e-19
8,swissprot,A0T0E9,Q19VA4,Chlorokybus atmophyticus,187,204.0,25.67,43.85,3.50229e-19
9,swissprot,A0T0E9,B2J056,Nostoc punctiforme PCC 73102,190,197.0,27.37,50.00,3.74993e-18
10,swissprot,A0T0E9,O78477,Guillardia theta,182,194.0,30.77,50.55,8.83275e-18
11,swissprot,A0T0E9,Q32RS7,Staurastrum punctulatum,184,194.0,28.80,44.57,1.07982e-17
12,swissprot,A0T0E9,Q6YXK2,Physcomitrium patens,184,193.0,28.26,45.65,1.51418e-17
13,swissprot,A0T0E9,B2XT88,Heterosigma akashiwo NIES-293,182,193.0,26.92,44.51,1.61353e-17
14,swissprot,A0T0E9,Q4G399,Emiliania huxleyi,179,191.0,33.52,53.07,2.73653e-17
15,swissprot,A0T0E9,Q85AL8,Anthoceros angustus,184,190.0,31.52,50.54,3.87462e-17
16,swissprot,A0T0E9,P48084,Cyanophora paradoxa,185,189.0,24.86,44.32,6.63138e-17
17,swissprot,A0T0E9,Q32RL0,Zygnema circumcarinatum,188,188.0,23.40,39.36,9.17194e-17
18,swissprot,A0T0E9,Q9MUT1,Mesostigma viride,186,187.0,28.49,46.77,1.24688e-16
19,swissprot,A0T0E9,Q9TL15,Nephroselmis olivacea,176,186.0,21.59,32.95,1.54663e-16
20,swissprot,A0T0E9,Q0I7R0,Synechococcus sp. CC9311,173,185.0,21.97,34.10,1.99258e-16
1,swissprot,A0T0F0,A0T0F0,Phaeodactylum tricornutum CCAP 1055/1,187,959.0,100.00,100.00,2.20031e-133
2,swissprot,A0T0F0,A0T0P3,Thalassiosira pseudonana,187,691.0,71.66,84.49,1.23081e-92
3,swissprot,A0T0F0,Q00821,Trieres chinensis,187,688.0,69.52,83.96,3.97465e-92
4,swissprot,A0T0F0,Q1XDP4,Neopyropia yezoensis,186,391.0,40.32,67.20,4.49633e-47
5,swissprot,A0T0F0,P51243,Porphyra purpurea,186,389.0,41.40,64.52,8.35913e-47
6,swissprot,A0T0F0,O78476,Guillardia theta,185,340.0,38.38,62.70,2.43414e-39
7,swissprot,A0T0F0,Q4G398,Emiliania huxleyi,180,338.0,36.67,65.00,3.47113e-39
8,swissprot,A0T0F0,Q02849,Antithamnion sp.,183,310.0,35.52,60.66,7.29469e-35
9,swissprot,A0T0F0,B7T1R7,Vaucheria litorea,201,293.0,33.83,55.22,4.25613e-32
10,swissprot,A0T0F0,Q40610,Ochrosphaera neapolitana,179,288.0,32.96,58.66,1.14227e-31
11,swissprot,A0T0F0,A6MVW5,Rhodomonas salina,180,288.0,32.22,60.56,1.18642e-31
12,swissprot,A0T0F0,Q6B8Q9,Gracilaria tenuistipitata var. liui,185,287.0,33.51,58.92,1.95912e-31
13,swissprot,A0T0F0,B7KKR5,Gloeothece citriformis PCC 7424,184,282.0,33.70,57.61,1.32802e-30
14,swissprot,A0T0F0,P48082,Cyanophora paradoxa,186,281.0,32.80,55.38,1.97692e-30
15,swissprot,A0T0F0,Q05374,Synechococcus sp. PCC 6716,184,262.0,30.43,53.80,1.21923e-27
16,swissprot,A0T0F0,Q112Z5,Trichodesmium erythraeum IMS101,182,261.0,29.12,56.04,1.45127e-27
17,swissprot,A0T0F0,Q8DLP4,Thermosynechococcus vestitus BP-1,185,261.0,29.19,52.97,1.50148e-27
18,swissprot,A0T0F0,Q318U0,Prochlorococcus marinus str. MIT 9312,180,259.0,31.67,56.67,2.74177e-27
19,swissprot,A0T0F0,B0JWV0,Microcystis aeruginosa NIES-843,182,258.0,32.97,52.20,4.43542e-27
20,swissprot,A0T0F0,A2BT26,Prochlorococcus marinus str. AS9601,180,255.0,30.00,56.67,9.42946e-27
1,swissprot,A0T0F1,A0T0F1,Phaeodactylum tricornutum CCAP 1055/1,505,2638.0,100.00,100.00,0.0
2,swissprot,A0T0F1,Q00820,Trieres chinensis,503,2373.0,88.67,94.83,0.0
3,swissprot,A0T0F1,A0T0P4,Thalassiosira pseudonana,503,2324.0,87.28,94.63,0.0
4,swissprot,A0T0F1,O78475,Guillardia theta,502,2116.0,77.49,90.04,0.0
5,swissprot,A0T0F1,A6MVW4,Rhodomonas salina,502,2100.0,77.29,89.84,0.0
6,swissprot,A0T0F1,B7K5I8,Rippkaea orientalis PCC 8801,503,2098.0,76.54,88.87,0.0
7,swissprot,A0T0F1,Q1XDP5,Neopyropia yezoensis,504,2069.0,77.58,87.90,0.0
8,swissprot,A0T0F1,Q6B8Q8,Gracilaria tenuistipitata var. liui,503,2067.0,76.94,89.46,0.0
9,swissprot,A0T0F1,B0JWV1,Microcystis aeruginosa NIES-843,502,2061.0,76.10,87.05,0.0
10,swissprot,A0T0F1,Q4G397,Emiliania huxleyi,499,2061.0,77.15,88.78,0.0
11,swissprot,A0T0F1,P51242,Porphyra purpurea,504,2060.0,76.79,87.70,0.0
12,swissprot,A0T0F1,Q112Z6,Trichodesmium erythraeum IMS101,505,2058.0,75.64,87.33,0.0
13,swissprot,A0T0F1,P35009,Galdieria sulphuraria,505,2055.0,75.25,88.12,0.0
14,swissprot,A0T0F1,B7KKR4,Gloeothece citriformis PCC 7424,503,2052.0,76.14,87.48,0.0
15,swissprot,A0T0F1,P08449,Synechococcus elongatus PCC 6301,505,2043.0,74.65,88.12,0.0
16,swissprot,A0T0F1,Q02848,Antithamnion sp.,505,2038.0,76.24,87.92,0.0
17,swissprot,A0T0F1,Q32RL1,Zygnema circumcarinatum,505,2037.0,76.04,87.33,0.0
18,swissprot,A0T0F1,P27179,Synechocystis sp. PCC 6803 substr. Kazusa,503,2037.0,75.15,86.48,0.0
19,swissprot,A0T0F1,Q31RF1,Synechococcus elongatus PCC 7942 = FACHB-805,505,2033.0,74.46,87.92,0.0
20,swissprot,A0T0F1,Q8DLP3,Thermosynechococcus vestitus BP-1,503,2028.0,75.15,87.08,0.0
1,swissprot,A0T0F3,A0T0F3,Phaeodactylum tricornutum CCAP 1055/1,69,356.0,100.00,100.00,2.4318e-45
2,swissprot,A0T0F3,P49482,Trieres chinensis,71,297.0,77.46,87.32,3.35367e-36
3,swissprot,A0T0F3,Q9WWP1,Nostoc sp. PCC 8009,70,280.0,74.29,84.29,1.17406e-33
4,swissprot,A0T0F3,P58575,Nostoc sp. PCC 7120 = FACHB-418,70,278.0,70.00,85.71,2.61697e-33
5,swissprot,A0T0F3,P31090,Trichormus variabilis ATCC 29413,71,278.0,69.01,83.10,2.87285e-33
6,swissprot,A0T0F3,B2J5G1,Nostoc punctiforme PCC 73102,71,275.0,69.01,81.69,6.40331e-33
7,swissprot,A0T0F3,O19924,Cyanidium caldarium,69,271.0,72.46,85.51,2.445e-32
8,swissprot,A0T0F3,O78515,Guillardia theta,64,256.0,73.44,87.50,5.35509e-30
9,swissprot,A0T0F3,Q9ZFU3,Mastigocladus laminosus,71,253.0,66.20,81.69,1.42374e-29
10,swissprot,A0T0F3,P23809,Microchaete diplosiphon,66,248.0,68.18,83.33,7.45172e-29
11,swissprot,A0T0F3,P0A423,Thermosynechococcus vestitus BP-1,76,241.0,61.84,77.63,1.19234e-27
12,swissprot,A0T0F3,P23077,Synechococcus elongatus PCC 6301,75,237.0,65.33,74.67,5.82176e-27
13,swissprot,A0T0F3,Q117D3,Trichodesmium erythraeum IMS101,69,235.0,62.32,84.06,9.67099e-27
14,swissprot,A0T0F3,Q3AWF7,Synechococcus sp. CC9902,69,226.0,68.12,72.46,1.89302e-25
15,swissprot,A0T0F3,Q1XDG0,Neopyropia yezoensis,62,219.0,59.68,85.48,2.24577e-24
16,swissprot,A0T0F3,P69403,Porphyra purpurea,62,219.0,59.68,87.10,2.29562e-24
17,swissprot,A0T0F3,Q3AMB5,Synechococcus sp. CC9605,69,219.0,65.22,72.46,2.38812e-24
18,swissprot,A0T0F3,P48114,Cyanophora paradoxa,70,217.0,65.71,82.86,4.06214e-24
19,swissprot,A0T0F3,P12352,Chlamydomonas reinhardtii,97,218.0,40.21,47.42,7.84016e-24
20,swissprot,A0T0F3,Q7U4V3,Parasynechococcus marenigrum WH 8102,69,214.0,62.32,72.46,1.59388e-23
1,swissprot,A0T0F5,A0T0F5,Phaeodactylum tricornutum CCAP 1055/1,64,322.0,100.00,100.00,3.00245e-40
2,swissprot,A0T0F5,A0T0Q1,Thalassiosira pseudonana,64,265.0,81.25,85.94,1.74076e-31
3,swissprot,A0T0F5,P49567,Trieres chinensis,64,252.0,79.69,84.38,1.58852e-29
4,swissprot,A0T0F5,Q3B0U8,Synechococcus sp. CC9902,65,198.0,60.00,72.31,3.18834e-21
5,swissprot,A0T0F5,Q3ANJ5,Synechococcus sp. CC9605,65,193.0,60.00,72.31,1.60008e-20
6,swissprot,A0T0F5,A5GHS0,Synechococcus sp. WH 7803,65,186.0,60.00,69.23,1.93139e-19
7,swissprot,A0T0F5,Q0IE25,Synechococcus sp. CC9311,65,186.0,58.46,69.23,2.06281e-19
8,swissprot,A0T0F5,A9BDA5,Prochlorococcus marinus str. MIT 9211,65,183.0,58.46,67.69,4.85418e-19
9,swissprot,A0T0F5,Q7V9L2,Prochlorococcus marinus subsp. marinus str. CCMP1375,65,182.0,58.46,69.23,6.97187e-19
10,swissprot,A0T0F5,A2C5C6,Prochlorococcus marinus str. NATL1A,65,181.0,58.46,67.69,1.26076e-18
11,swissprot,A0T0F5,Q3M7I2,Trichormus variabilis ATCC 29413,65,178.0,53.85,72.31,2.77755e-18
12,swissprot,A0T0F5,P14810,Cyanophora paradoxa,65,176.0,60.00,66.15,5.19055e-18
13,swissprot,A0T0F5,A2C5Q7,Prochlorococcus marinus str. MIT 9303,65,176.0,56.92,69.23,5.85621e-18
14,swissprot,A0T0F5,B7K6S5,Gloeothece citriformis PCC 7424,67,173.0,58.21,71.64,1.82426e-17
15,swissprot,A0T0F5,B2J0D1,Nostoc punctiforme PCC 73102,65,171.0,55.38,70.77,3.86326e-17
16,swissprot,A0T0F5,Q31NR1,Synechococcus elongatus PCC 7942 = FACHB-805,66,171.0,53.03,69.70,4.04916e-17
