Protein1,Protein2,DB,Organism,Length,Score,Identities,Positives,E
A0T0D6,A0T0R2,SP,Thalassiosira pseudonana ,93,396,71.4,86.8,1.6e-23
A0T0D6,B0JGK4,SP,Microcystis aeruginosa (strain NIES-843 / IAM M-2473) ,97,319,57.4,80.9,1.2e-17
A0T0D6,Q8YWL3,SP,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) ,97,309,51.6,83.5,6.8e-17
A0T0D6,B1WZT9,SP,Crocosphaera subtropica (strain ATCC 51142 / BH68) ,97,307,52.7,86.8,9.7e-17
A0T0D6,Q3M5D2,SP,Trichormus variabilis (strain ATCC 29413 / PCC 7937) ,98,302,51.1,83.3,2.4e-16
A0T0D6,A2BT63,SP,Prochlorococcus marinus (strain AS9601) ,97,298,51.6,80.6,4.7e-16
A0T0D6,Q318Q5,SP,Prochlorococcus marinus (strain MIT 9312) ,97,295,51.6,79.6,7.9e-16
A0T0D6,B1XHW6,SP,Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6) ,99,295,53.8,81.3,8.1e-16
A0T0D6,A3PEX6,SP,Prochlorococcus marinus (strain MIT 9301) ,97,294,52.7,77.4,9.4e-16
A0T0D6,B7JWV1,SP,Rippkaea orientalis (strain PCC 8801) ,97,292,49.5,83.5,1.3e-15
A0T0D6,B7KG02,SP,Gloeothece citriformis (strain PCC 7424) ,97,290,50.5,81.3,1.9e-15
A0T0D6,A8G6Y8,SP,Prochlorococcus marinus (strain MIT 9215) ,97,289,52.7,79.1,2.3e-15
A0T0D6,Q7TU38,SP,Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) ,97,286,53.8,76.9,3.8e-15
A0T0D6,A2BYL3,SP,Prochlorococcus marinus (strain MIT 9515) ,97,283,53.8,78.0,6.5e-15
A0T0D6,P73336,SP,Synechocystis sp. (strain PCC 6803 / Kazusa) ,97,283,48.4,81.3,6.5e-15
A0T0D6,A5GNH5,SP,Synechococcus sp. (strain WH7803) ,102,282,46.2,84.6,8.2e-15
A0T0D6,A9BCH8,SP,Prochlorococcus marinus (strain MIT 9211) ,100,273,49.5,78.0,3.9e-14
A0T0D6,B0C2C8,SP,Acaryochloris marina (strain MBIC 11017) ,94,272,50.5,74.7,4.3e-14
A0T0D7,A0T0D7,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,1389,8981,100.0,100.0,0.0
A0T0D7,A0T0R1,SP,Thalassiosira pseudonana ,1386,6347,68.5,86.9,0.0
A0T0D7,P49466,SP,Trieres chinensis ,1379,6214,68.1,86.3,0.0
A0T0D7,Q1XDN5,SP,Neopyropia yezoensis ,1143,3503,50.1,77.0,0.0
A0T0D7,A6MVX4,SP,Rhodomonas salina ,1097,3531,53.5,78.4,0.0
A0T0D7,P51252,SP,Porphyra purpurea ,1143,3477,52.0,78.1,0.0
A0T0D7,O78485,SP,Guillardia theta ,1096,3515,53.4,78.3,9.6e-218
A0T0D7,Q8DL55,SP,Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1) ,1108,3446,55.1,78.6,2.6e-215
A0T0D7,Q31N17,SP,Synechococcus elongatus (strain PCC 7942 / FACHB-805) ,1100,3431,53.5,76.8,7.2e-214
A0T0D7,Q5MZ23,SP,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) ,1100,3414,53.3,76.7,9.3e-213
A0T0D7,Q6B8R8,SP,Gracilaria tenuistipitata var. liui ,1120,3398,54.2,79.8,9.6e-213
A0T0D7,Q2JX64,SP,Synechococcus sp. (strain JA-3-3Ab) ,1133,3394,54.6,78.8,7.8e-211
A0T0D7,Q318Q7,SP,Prochlorococcus marinus (strain MIT 9312) ,1097,3356,55.0,79.2,8.6e-211
A0T0D7,Q2JJ19,SP,Synechococcus sp. (strain JA-2-3B'a(2-13)) ,1139,3397,54.5,78.6,2.3e-210
A0T0D7,A2C4N2,SP,Prochlorococcus marinus (strain NATL1A) ,1095,3357,54.5,79.0,4.5e-210
A0T0D7,Q46J22,SP,Prochlorococcus marinus (strain NATL2A) ,1095,3351,54.4,78.9,1.1e-209
A0T0D7,A3PEX4,SP,Prochlorococcus marinus (strain MIT 9301) ,1097,3346,55.3,79.8,1.1e-209
A0T0D7,A2BYL1,SP,Prochlorococcus marinus (strain MIT 9515) ,1097,3348,55.1,80.2,1.1e-209
A0T0D7,A2C6S8,SP,Prochlorococcus marinus (strain MIT 9303) ,1097,3342,54.1,78.8,1.8e-209
A0T0D7,Q7V5P1,SP,Prochlorococcus marinus (strain MIT 9313) ,1097,3341,54.1,78.8,2.1e-209
A0T0D8,A0T0D8,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,696,4590,100.0,100.0,0.0
A0T0D8,A0T0R0,SP,Thalassiosira pseudonana ,732,3820,78.5,90.1,5.6e-200
A0T0D8,P49467,SP,Trieres chinensis ,843,3506,66.9,77.4,3.4e-195
A0T0D8,Q6ACX6,SP,Leifsonia xyli subsp. xyli (strain CTCB07) ,1291,1881,46.9,74.5,1.3e-121
A0T0D8,A5CUC6,SP,Clavibacter michiganensis subsp. michiganensis (strain NCPPB 382) ,1299,1878,46.5,75.3,2.1e-121
A0T0D8,B0RB26,SP,Clavibacter michiganensis subsp. sepedonicus (strain ATCC 33113 / DSM 20744 / JCM 9667 / LMG 2889 / C-1) ,1299,1878,46.5,75.3,2.1e-121
A0T0D8,A1A316,SP,Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a) ,1337,1888,47.1,73.9,2.2e-121
A0T0D8,C5C0K2,SP,Beutenbergia cavernae (strain ATCC BAA-8 / DSM 12333 / NBRC 16432) ,1296,1864,46.9,74.2,2e-120
A0T0D8,A1SEK2,SP,Nocardioides sp. (strain ATCC BAA-499 / JS614) ,1290,1863,46.4,74.9,2.3e-120
A0T0D8,Q6A6K7,SP,Cutibacterium acnes (strain DSM 16379 / KPA171202) ,1293,1860,46.1,73.3,8.3e-120
A0T0D8,Q82DQ4,SP,Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680) ,1299,1855,44.3,71.5,9.8e-120
A0T0D8,A0LRL4,SP,Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B) ,1304,1853,46.7,74.1,1.1e-119
A0T0D8,A6MVX3,SP,Rhodomonas salina ,623,2394,54.1,76.3,1.5e-119
A0T0D8,A6W5T1,SP,Kineococcus radiotolerans (strain ATCC BAA-149 / DSM 14245 / SRS30216) ,1293,1849,46.3,74.6,2.1e-119
A0T0D8,Q47LI6,SP,Thermobifida fusca (strain YX) ,1291,1843,46.6,74.0,5.6e-119
A0T0D8,A4FPP2,SP,Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338) ,1303,1843,46.6,74.0,5.6e-119
A0T0D8,A8M538,SP,Salinispora arenicola (strain CNS-205) ,1297,1842,47.1,73.5,6.6e-119
A0T0D8,A4XBQ5,SP,Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / CNB-440) ,1297,1842,47.1,73.5,6.6e-119
A0T0D8,Q8G515,SP,Bifidobacterium longum (strain NCC 2705) ,1345,1846,44.3,70.8,6.9e-119
A0T0D8,B3DTE1,SP,Bifidobacterium longum (strain DJO10A) ,1345,1846,44.3,70.8,6.9e-119
A0T0D9,A0T0D9,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,1415,9089,100.0,100.0,0.0
A0T0D9,A0T0Q9,SP,Thalassiosira pseudonana ,1446,5347,58.5,82.0,2e-168
A0T0D9,P49468,SP,Trieres chinensis ,1481,5124,54.4,79.3,2.1e-160
A0T0D9,Q6B8R6,SP,Gracilaria tenuistipitata var. liui ,1228,2244,34.0,61.3,3.6e-116
A0T0D9,B0C385,SP,Acaryochloris marina (strain MBIC 11017) ,1330,2297,33.8,61.3,5.1e-109
A0T0D9,A6MVX2,SP,Rhodomonas salina ,1303,2274,34.0,61.0,1.1e-107
A0T0D9,Q9MUS7,SP,Mesostigma viride ,1223,2144,33.5,61.5,4.7e-104
A0T0D9,Q2JQT4,SP,Synechococcus sp. (strain JA-3-3Ab) ,1302,2196,33.0,60.1,4.8e-102
A0T0D9,Q31N15,SP,Synechococcus elongatus (strain PCC 7942 / FACHB-805) ,1318,2204,31.8,61.2,1e-101
A0T0D9,Q5MZ21,SP,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) ,1318,2202,31.8,61.2,1.6e-101
A0T0D9,Q2JJ17,SP,Synechococcus sp. (strain JA-2-3B'a(2-13)) ,1304,2193,33.0,61.4,5.7e-101
A0T0D9,P22705,SP,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) ,1355,2282,33.4,61.6,2.3e-99
A0T0D9,P51250,SP,Porphyra purpurea ,1224,2258,34.5,60.1,3.1e-99
A0T0D9,B2J1A0,SP,Nostoc punctiforme (strain ATCC 29133 / PCC 73102) ,1349,2263,33.2,61.6,1.2e-98
A0T0D9,Q3M5C8,SP,Trichormus variabilis (strain ATCC 29413 / PCC 7937) ,1355,2260,33.4,61.4,1.2e-98
A0T0D9,Q1XDN7,SP,Neopyropia yezoensis ,1226,2215,34.2,60.8,1.8e-98
A0T0D9,Q7NDF7,SP,Gloeobacter violaceus (strain ATCC 29082 / PCC 7421) ,1262,2065,32.0,60.4,2.5e-94
A0T0D9,O78483,SP,Guillardia theta ,1286,2281,34.0,61.0,4e-94
A0T0D9,Q9TM34,SP,Cyanidium caldarium ,1269,2255,34.7,62.3,1.6e-90
A0T0D9,Q8DL57,SP,Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1) ,1324,2087,32.1,60.1,4.3e-89
A0T0E0,A0T0E0,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,226,1467,100.0,100.0,4.7e-93
A0T0E0,P49490,SP,Trieres chinensis ,229,1211,80.0,94.2,1.4e-75
A0T0E0,A0T0Q8,SP,Thalassiosira pseudonana ,227,1186,78.7,93.8,7.2e-74
A0T0E0,A6MVX1,SP,Rhodomonas salina ,243,1021,63.3,90.3,1.4e-62
A0T0E0,O78482,SP,Guillardia theta ,235,1014,64.7,89.1,4.1e-62
A0T0E0,P51249,SP,Porphyra purpurea ,241,1001,62.2,88.9,3.3e-61
A0T0E0,Q1XDN8,SP,Neopyropia yezoensis ,242,1001,62.7,88.0,3.3e-61
A0T0E0,Q4G3A3,SP,Emiliania huxleyi ,229,988,61.3,90.2,2.4e-60
A0T0E0,Q6B8R5,SP,Gracilaria tenuistipitata var. liui ,231,988,61.9,88.1,2.4e-60
A0T0E0,B8HXK4,SP,Cyanothece sp. (strain PCC 7425 / ATCC 29141) ,260,981,59.1,89.3,8.3e-60
A0T0E0,Q3MBF3,SP,Trichormus variabilis (strain ATCC 29413 / PCC 7937) ,265,981,59.6,88.0,8.5e-60
A0T0E0,Q8YMY2,SP,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) ,265,981,59.6,88.0,8.5e-60
A0T0E0,B0C075,SP,Acaryochloris marina (strain MBIC 11017) ,298,978,60.9,87.1,1.6e-59
A0T0E0,B2J6U9,SP,Nostoc punctiforme (strain ATCC 29133 / PCC 73102) ,264,974,59.1,88.4,2.6e-59
A0T0E0,Q19VA1,SP,Chlorokybus atmophyticus ,228,959,58.2,87.6,2.2e-58
A0T0E0,Q116Q2,SP,Trichodesmium erythraeum (strain IMS101) ,272,956,59.1,87.1,4.5e-58
A0T0E0,P48132,SP,Cyanophora paradoxa ,233,951,58.0,88.4,8.1e-58
A0T0E0,Q2JLB3,SP,Synechococcus sp. (strain JA-2-3B'a(2-13)) ,264,947,60.9,86.2,1.8e-57
A0T0E0,Q8DIA2,SP,Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1) ,263,944,59.1,85.8,2.8e-57
A0T0E0,Q9MUS8,SP,Mesostigma viride ,228,938,59.1,87.1,6.1e-57
A0T0E7,A0T0E7,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,82,503,100.0,100.0,5.4e-31
A0T0E7,A0T0P0,SP,Thalassiosira pseudonana ,82,467,92.7,98.8,2.7e-28
A0T0E7,P41603,SP,Pinus thunbergii ,81,462,91.2,100.0,6.3e-28
A0T0E7,Q7GUD2,SP,Pinus koraiensis ,81,462,91.2,100.0,6.3e-28
A0T0E7,Q00824,SP,Trieres chinensis ,82,460,92.6,98.8,9.1e-28
A0T0E7,B2XTP2,SP,Heterosigma akashiwo (strain CCMP452 / OLISTH) ,82,459,90.2,98.8,1.1e-27
A0T0E7,B2XT86,SP,Heterosigma akashiwo (strain NIES-293 / 8280G21-1) ,82,459,90.2,98.8,1.1e-27
A0T0E7,B5LMM9,SP,Cicer arietinum ,81,458,91.2,100.0,1.3e-27
A0T0E7,A7Y3A9,SP,Ipomoea purpurea ,81,458,90.0,100.0,1.3e-27
A0T0E7,B1VKH8,SP,Cryptomeria japonica ,81,457,91.2,100.0,1.5e-27
A0T0E7,A4GGB0,SP,Phaseolus vulgaris ,81,455,90.0,100.0,2.1e-27
A0T0E7,P69194,SP,Lotus japonicus ,81,455,90.0,100.0,2.1e-27
A0T0E7,P69195,SP,Glycine max ,81,455,90.0,100.0,2.1e-27
A0T0E7,Q32RS6,SP,Staurastrum punctulatum ,81,455,90.0,100.0,2.1e-27
A0T0E7,Q6YXK1,SP,Physcomitrium patens ,81,453,90.0,100.0,3e-27
A0T0E7,B0Z4N0,SP,Oenothera argillicola ,81,453,90.0,100.0,3e-27
A0T0E7,P62480,SP,Oenothera elata subsp. hookeri ,81,453,90.0,100.0,3e-27
A0T0E7,Q06FX4,SP,Pelargonium hortorum ,81,453,90.0,100.0,3e-27
A0T0E7,P62481,SP,Marchantia polymorpha ,81,453,90.0,100.0,3e-27
A0T0E7,A9QC36,SP,Trachelium caeruleum ,81,453,90.0,100.0,3e-27
A0T0E8,A0T0E8,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,156,943,100.0,100.0,1.1e-50
A0T0E8,Q00823,SP,Trieres chinensis ,156,787,80.8,95.5,3.2e-41
A0T0E8,A0T0P1,SP,Thalassiosira pseudonana ,156,726,73.7,95.5,1.6e-37
A0T0E8,B7T1R9,SP,Vaucheria litorea ,154,449,48.1,82.5,1e-20
A0T0E8,O78478,SP,Guillardia theta ,163,387,42.4,80.6,6.2e-17
A0T0E8,A6MVW7,SP,Rhodomonas salina ,155,372,43.5,79.0,4.8e-16
A0T0E8,Q02852,SP,Antithamnion sp. ,159,367,42.2,74.7,9.8e-16
A0T0E8,Q1XDP2,SP,Neopyropia yezoensis ,156,362,40.3,79.2,1.9e-15
A0T0E8,P51245,SP,Porphyra purpurea ,158,356,39.6,76.6,4.5e-15
A0T0E8,Q40608,SP,Ochrosphaera neapolitana ,163,351,39.1,76.2,9.4e-15
A0T0E8,Q112Z3,SP,Trichodesmium erythraeum (strain IMS101) ,161,345,38.3,73.4,2.2e-14
A0T0E8,P48085,SP,Cyanophora paradoxa ,164,333,39.2,73.9,1.2e-13
A0T0E8,P35012,SP,Galdieria sulphuraria ,157,331,38.1,75.5,1.5e-13
A0T0E8,Q8DLP6,SP,Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1) ,138,329,41.9,74.3,1.7e-13
A0T0E8,Q6B8R1,SP,Gracilaria tenuistipitata var. liui ,158,329,41.3,76.1,2e-13
A0T0E8,Q4G3A0,SP,Emiliania huxleyi ,162,322,38.5,71.8,5.4e-13
A0T0E8,Q05367,SP,Synechococcus sp. (strain PCC 6716) ,159,320,41.2,73.5,7e-13
A0T0E8,Q3M9V7,SP,Trichormus variabilis (strain ATCC 29413 / PCC 7937) ,163,320,39.9,69.6,7.2e-13
A0T0E8,P12410,SP,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) ,163,316,39.2,69.6,1.3e-12
A0T0E8,B1XHZ1,SP,Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6) ,161,313,39.9,71.3,1.9e-12
A0T0E9,A0T0E9,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,179,1082,100.0,100.0,2.2e-58
A0T0E9,Q00822,SP,Trieres chinensis ,179,858,76.5,94.4,6.2e-45
A0T0E9,A0T0P2,SP,Thalassiosira pseudonana ,179,780,70.4,92.7,3e-40
A0T0E9,B7T1R8,SP,Vaucheria litorea ,178,342,33.7,73.0,5.8e-14
A0T0E9,Q6B8R0,SP,Gracilaria tenuistipitata var. liui ,182,311,32.2,73.2,4.3e-12
A0T0E9,Q1XDP3,SP,Neopyropia yezoensis ,183,307,34.5,72.3,7.6e-12
A0T0E9,Q02850,SP,Antithamnion sp. ,182,306,35.0,69.4,8.6e-12
A0T0E9,Q19VA4,SP,Chlorokybus atmophyticus ,187,301,31.5,75.6,1.8e-11
A0T0E9,A6MVW6,SP,Rhodomonas salina ,181,296,32.9,75.6,3.4e-11
A0T0E9,P51244,SP,Porphyra purpurea ,183,292,32.2,72.2,6e-11
A0T0E9,B2J056,SP,Nostoc punctiforme (strain ATCC 29133 / PCC 73102) ,190,288,31.1,71.9,1.1e-10
A0T0E9,Q4G399,SP,Emiliania huxleyi ,179,287,34.1,69.8,1.2e-10
A0T0E9,P35011,SP,Galdieria sulphuraria ,176,285,34.5,73.1,1.5e-10
A0T0E9,O78477,SP,Guillardia theta ,182,283,33.1,71.0,2.1e-10
A0T0E9,B2XTP4,SP,Heterosigma akashiwo (strain CCMP452 / OLISTH) ,182,282,33.3,72.8,2.4e-10
A0T0E9,B2XT88,SP,Heterosigma akashiwo (strain NIES-293 / 8280G21-1) ,182,282,33.3,72.8,2.4e-10
A0T0E9,Q32RS7,SP,Staurastrum punctulatum ,184,279,36.5,73.0,3.7e-10
A0T0E9,Q9MUT1,SP,Mesostigma viride ,186,279,32.2,72.3,3.7e-10
A0T0E9,P48084,SP,Cyanophora paradoxa ,185,278,32.1,70.5,4.2e-10
A0T0E9,Q32RL0,SP,Zygnema circumcarinatum ,188,276,34.9,69.2,5.7e-10
A0T0F0,A0T0F0,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,187,1131,100.0,100.0,8.8e-73
A0T0F0,A0T0P3,SP,Thalassiosira pseudonana ,187,841,71.7,87.7,2.4e-52
A0T0F0,Q00821,SP,Trieres chinensis ,187,835,69.5,92.0,6.2e-52
A0T0F0,Q1XDP4,SP,Neopyropia yezoensis ,186,505,40.5,80.0,1.1e-28
A0T0F0,P51243,SP,Porphyra purpurea ,186,500,42.3,78.6,2.5e-28
A0T0F0,O78476,SP,Guillardia theta ,185,446,40.3,77.3,1.5e-24
A0T0F0,Q4G398,SP,Emiliania huxleyi ,180,437,36.9,76.5,6.4e-24
A0T0F0,Q02849,SP,Antithamnion sp. ,183,419,37.1,74.9,1.2e-22
A0T0F0,Q6B8Q9,SP,Gracilaria tenuistipitata var. liui ,185,394,33.7,71.2,7.1e-21
A0T0F0,P48082,SP,Cyanophora paradoxa ,186,386,34.3,72.9,2.6e-20
A0T0F0,Q40610,SP,Ochrosphaera neapolitana ,179,385,34.1,75.7,2.9e-20
A0T0F0,A6MVW5,SP,Rhodomonas salina ,180,372,33.3,73.0,2.4e-19
A0T0F0,B7KKR5,SP,Gloeothece citriformis (strain PCC 7424) ,184,370,33.7,69.6,3.5e-19
A0T0F0,Q318U0,SP,Prochlorococcus marinus (strain MIT 9312) ,180,358,32.2,74.6,2.4e-18
A0T0F0,Q112Z5,SP,Trichodesmium erythraeum (strain IMS101) ,182,355,30.4,69.6,3.9e-18
A0T0F0,A8G6V2,SP,Prochlorococcus marinus (strain MIT 9215) ,180,353,31.1,74.0,5.3e-18
A0T0F0,A3PEU0,SP,Prochlorococcus marinus (strain MIT 9301) ,180,353,31.1,74.6,5.3e-18
A0T0F0,A2BT26,SP,Prochlorococcus marinus (strain AS9601) ,180,353,31.2,75.1,5.3e-18
A0T0F0,Q8DLP4,SP,Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1) ,185,349,31.8,71.2,1.1e-17
A0T0F0,Q7V036,SP,Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) ,180,346,29.9,74.6,1.7e-17
A0T0F1,A0T0F1,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,505,3148,100.0,100.0,1.5e-193
A0T0F1,Q00820,SP,Trieres chinensis ,503,2853,88.7,97.4,1e-174
A0T0F1,A0T0P4,SP,Thalassiosira pseudonana ,503,2802,87.5,96.8,1.9e-171
A0T0F1,O78475,SP,Guillardia theta ,502,2575,77.6,94.4,6.1e-157
A0T0F1,A6MVW4,SP,Rhodomonas salina ,502,2552,77.6,93.4,1.8e-155
A0T0F1,B7K5I8,SP,Rippkaea orientalis (strain PCC 8801) ,503,2543,76.8,94.0,6.7e-155
A0T0F1,Q1XDP5,SP,Neopyropia yezoensis ,504,2526,77.7,92.4,8.3e-154
A0T0F1,Q6B8Q8,SP,Gracilaria tenuistipitata var. liui ,503,2519,77.1,93.4,2.3e-153
A0T0F1,P51242,SP,Porphyra purpurea ,504,2518,76.9,92.8,2.7e-153
A0T0F1,Q4G397,SP,Emiliania huxleyi ,499,2515,77.3,93.2,4.1e-153
A0T0F1,B0JWV1,SP,Microcystis aeruginosa (strain NIES-843 / IAM M-2473) ,502,2514,76.2,93.4,4.8e-153
A0T0F1,Q112Z6,SP,Trichodesmium erythraeum (strain IMS101) ,505,2514,76.2,93.8,4.8e-153
A0T0F1,B7KKR4,SP,Gloeothece citriformis (strain PCC 7424) ,503,2505,76.3,93.0,1.8e-152
A0T0F1,P35009,SP,Galdieria sulphuraria ,505,2489,75.8,93.4,1.9e-151
A0T0F1,Q02848,SP,Antithamnion sp. ,505,2488,76.4,92.9,2.2e-151
A0T0F1,P08449,SP,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) ,505,2488,75.6,93.6,2.2e-151
A0T0F1,Q8DLP3,SP,Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1) ,503,2477,75.3,92.0,1.1e-150
A0T0F1,Q31RF1,SP,Synechococcus elongatus (strain PCC 7942 / FACHB-805) ,505,2477,75.4,93.4,1.1e-150
A0T0F1,P27179,SP,Synechocystis sp. (strain PCC 6803 / Kazusa) ,503,2472,75.3,92.0,2.3e-150
A0T0F1,Q32RL1,SP,Zygnema circumcarinatum ,505,2469,76.6,91.8,3.6e-150
A0T0F3,A0T0F3,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,69,440,100.0,100.0,3e-31
A0T0F3,P49482,SP,Trieres chinensis ,71,364,79.7,94.2,1.1e-24
A0T0F3,Q9WWP1,SP,Nostoc sp. (strain PCC 8009) ,70,350,75.4,91.3,1.7e-23
A0T0F3,P58575,SP,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) ,70,344,71.0,92.8,5.4e-23
A0T0F3,P31090,SP,Trichormus variabilis (strain ATCC 29413 / PCC 7937) ,71,344,73.1,94.0,5.5e-23
A0T0F3,B2J5G1,SP,Nostoc punctiforme (strain ATCC 29133 / PCC 73102) ,71,341,73.1,92.5,1e-22
A0T0F3,O19924,SP,Cyanidium caldarium ,69,337,72.5,89.9,2.1e-22
A0T0F3,P48114,SP,Cyanophora paradoxa ,70,332,66.7,94.2,5.8e-22
A0T0F3,O78515,SP,Guillardia theta ,64,320,75.8,96.8,5.6e-21
A0T0F3,Q9ZFU3,SP,Mastigocladus laminosus ,71,320,67.1,90.0,6.4e-21
A0T0F3,P23809,SP,Microchaete diplosiphon ,66,311,68.2,89.4,3.5e-20
A0T0F3,P0A423,SP,Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1) ,76,301,63.5,83.8,3e-19
A0T0F3,P0A424,SP,Synechococcus elongatus ,76,301,63.5,83.8,3e-19
A0T0F3,Q117D3,SP,Trichodesmium erythraeum (strain IMS101) ,69,292,62.3,88.4,1.6e-18
A0T0F3,Q31NL7,SP,Synechococcus elongatus (strain PCC 7942 / FACHB-805) ,75,292,67.1,80.8,1.7e-18
A0T0F3,P23077,SP,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) ,75,292,67.1,80.8,1.7e-18
A0T0F3,Q3AWF7,SP,Synechococcus sp. (strain CC9902) ,69,281,73.4,81.2,1.4e-17
A0T0F3,Q1XDG0,SP,Neopyropia yezoensis ,62,276,61.7,98.3,3.3e-17
A0T0F3,P69404,SP,Porphyra umbilicalis ,62,274,61.7,98.3,4.9e-17
A0T0F3,P69403,SP,Porphyra purpurea ,62,274,61.7,98.3,4.9e-17
A0T0F5,A0T0F5,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,64,410,100.0,100.0,8.1e-29
A0T0F5,A0T0Q1,SP,Thalassiosira pseudonana ,64,344,81.2,90.6,4.1e-23
A0T0F5,P49567,SP,Trieres chinensis ,64,329,79.7,90.6,8e-22
A0T0F5,Q3B0U8,SP,Synechococcus sp. (strain CC9902) ,65,260,60.9,85.9,7.5e-16
A0T0F5,Q3ANJ5,SP,Synechococcus sp. (strain CC9605) ,65,253,60.9,84.4,3e-15
A0T0F5,Q0IE25,SP,Synechococcus sp. (strain CC9311) ,65,247,59.4,84.4,9.9e-15
A0T0F5,A5GHS0,SP,Synechococcus sp. (strain WH7803) ,65,245,60.9,81.2,1.5e-14
A0T0F5,A9BDA5,SP,Prochlorococcus marinus (strain MIT 9211) ,65,242,59.4,84.4,2.7e-14
A0T0F5,Q46IC9,SP,Prochlorococcus marinus (strain NATL2A) ,65,242,59.4,84.4,2.7e-14
A0T0F5,A2C5C6,SP,Prochlorococcus marinus (strain NATL1A) ,65,242,59.4,84.4,2.7e-14
A0T0F5,Q7V9L2,SP,Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) ,65,242,59.4,85.9,2.7e-14
A0T0F5,P14810,SP,Cyanophora paradoxa ,65,239,60.9,89.1,4.9e-14
A0T0F5,Q8YRL9,SP,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) ,65,237,54.7,89.1,7.3e-14
A0T0F5,Q3M7I2,SP,Trichormus variabilis (strain ATCC 29413 / PCC 7937) ,65,237,54.7,89.1,7.3e-14
A0T0F5,B7K6S5,SP,Gloeothece citriformis (strain PCC 7424) ,67,235,57.6,86.4,1.1e-13
A0T0F5,Q7V998,SP,Prochlorococcus marinus (strain MIT 9313) ,65,234,57.8,82.8,1.3e-13
A0T0F5,A2C5Q7,SP,Prochlorococcus marinus (strain MIT 9303) ,65,234,57.8,82.8,1.3e-13
A0T0F5,B0BZS9,SP,Acaryochloris marina (strain MBIC 11017) ,65,232,50.0,85.9,2e-13
A0T0F5,Q5N5F4,SP,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) ,66,231,54.7,84.4,2.4e-13
A0T0F5,Q31NR1,SP,Synechococcus elongatus (strain PCC 7942 / FACHB-805) ,66,231,54.7,84.4,2.4e-13
A0T0F6,A0T0F6,SP,Phaeodactylum tricornutum (strain CCAP 1055/1) ,112,699,100.0,100.0,5.4e-48
A0T0F6,P49556,SP,Trieres chinensis ,114,584,80.9,93.6,5.6e-39
A0T0F6,A0T0Q2,SP,Thalassiosira pseudonana ,117,562,78.4,91.9,3.1e-37
A0T0F6,B8HPI7,SP,Cyanothece sp. (strain PCC 7425 / ATCC 29141) ,118,503,72.6,91.5,1.3e-32
A0T0F6,B1WXF7,SP,Crocosphaera subtropica (strain ATCC 51142 / BH68) ,117,496,70.8,90.6,4.5e-32
